Front,Back
"Chapter 1: The Characters of the Story","- System 1 (Fast Thinking): Intuitive, automatic, effortless (e.g., reading emotions, recalling familiar facts). 
- System 2 (Slow Thinking): Deliberate, logical, effortful (e.g., solving math problems, making financial decisions). 
- System 1 often relies on heuristics that can be misleading. 
- System 2 has the potential to correct errors, but it requires effort and is prone to laziness. 
📌 Key takeaway: Recognize when mistakes are likely and engage System 2 to avoid them."
"Chapter 2: Attention and Effort","- Thinking slow requires effort and depletes energy. 
- Mental strain can cause:
    - Dilated pupils
    - Reduced attention span
    - Decision fatigue
- Since slow thinking is tiring, we tend to default to fast thinking, which can lead to errors. 
- Example: Writing a shopping list instead of relying on memory helps avoid mistakes. 
📌 Key takeaway: Since mental energy is limited, we must be strategic about when to engage System 2."
"Chapter 3: The Lazy Controller","- Mental effort is draining, which explains why:
    - We struggle with multi-tasking (e.g., walking and solving a math problem).
    - We forget to eat when deeply focused.
    - Self-control weakens when tired, hungry, or stressed.
    - Intelligence is more than reasoning; it’s also about retrieving relevant information efficiently. 
📌 Key takeaway: We often rely on System 1 out of laziness, leading to impulsive decisions."
"Heuristic #1: Priming","- Priming refers to subconscious exposure to an idea that influences how we think or behave.
- Example: If primed with food-related words, we complete SO_P as 'SOUP.'
- The Ideomotor Effect:
    - Reading about the elderly makes people walk slower unconsciously.
    - Frowning makes negative images seem more disturbing.
- Behavior influences thought just as much as thought influences behavior.
📌 Key takeaway: We are not purely rational thinkers—our minds are constantly shaped by subconscious influences."
"Heuristic #2: Cognitive Ease","- Cognitive Ease occurs when something feels easy to process, leading us to trust it more. 
- Familiarity = Truth.
- If a statement is repeated often, it feels more true (even if false).
- Authoritarian regimes, marketers, and cult leaders exploit this by repeating messages constantly.
- Predictable illusions arise when we mistake ease of understanding for accuracy.
📌 Key takeaway: Just because something feels true doesn’t mean it is true."
Front,Back
"Chapter 6: Norms, Surprises, and Causes - Heuristic #3: Coherent Stories","- We make sense of the world by telling ourselves stories about events, circumstances, and regular occurrences.
   - The more events fit into our stories, the more normal they seem.
   - Surprises challenge our stories, so we create new explanations to fit them (e.g., 'Everything happens for a purpose,' 'God did it').
   - We often assume intention, causality, or divine purpose where none exists.
   - Potential for error: We confuse causality with correlation and make more out of coincidences than warranted."
"Chapter 7: A Machine for Jumping to Conclusions - Heuristic #4: Confirmation Bias","- The tendency to search for and interpret information that confirms our beliefs while overlooking counterexamples.
   - Jumping to conclusions is efficient when the conclusions are likely to be correct but risky in unfamiliar situations.
   - System 1 fills in ambiguity with automatic guesses, while System 2 slows down to consider alternatives.
   - Potential for error: We overestimate the probability of unlikely events and accept uncritically every suggestion."
"Chapter 7: A Machine for Jumping to Conclusions - Heuristic #5: The Halo Effect","- The tendency to like or dislike everything about a person (including things we haven't observed).
   - First impressions shape later judgments—good first impressions tend to positively color later negative impressions.
   - We often allow our intuitive judgments to influence our decisions without critical thinking.
   - 'WYSIATI'—what you see is all there is: Do not rely on impressions or intuition alone, focus on hard data."
"Chapter 8: How Judgments Happen - Heuristic #6: Judgement","- System 1 relies on intuition and basic assessments but often ignores complex variables.
   - We fail to calculate sums accurately and rely on unreliable intuitive averages.
   - We tend to evaluate things by matching dissimilar traits, leading to errors in judgment.
   - The 'mental shotgun' approach: Evaluating a decision without distinguishing the most important variables."
"Chapter 9: An Easier Question - Heuristic #7: Substitution","- When faced with a difficult question, we substitute it with a simpler one.
   - Example: Instead of estimating the probability of a complex outcome, we estimate an easier one (e.g., mood instead of happiness).
   - Even chronic worriers replace tough problems with easier ones and function effortlessly in many areas of life.
   - Potential for error: We avoid answering the harder, more important questions."
"Chapter 9: An Easier Question - Heuristic #8: Affect","- Emotions influence our judgments.
   - People let their emotional preferences determine their beliefs about the world.
   - Our likes and dislikes can cloud our judgment, leading us to under or overestimate risks and benefits."
Front,Back
"Chapter 10: The Law of Small Numbers - Heuristic #9: The Law of Small Numbers","- We tend to give more credence to outcomes from small samples than statistics warrant, even though small samples are more prone to extreme outcomes.
   - System 1 is easily impressed with small samples, but they are not representative of larger populations.
   - Potential for error: Making decisions based on insufficient data."
"Chapter 10: The Law of Small Numbers - Heuristic #10: Confidence Over Doubt","- System 1 suppresses ambiguity and doubt by creating coherent stories from limited data.
   - System 2, our inner skeptic, often fails to weigh stories adequately due to the effort required for disbelief.
   - We have a bias toward believing and attribute causality where none exists.
   - Potential for error: Making connections where none exist."
"Chapter 11: Anchors - Heuristic #11: The Anchoring Effect","- We make incorrect estimates due to previously heard quantities.
   - Exposure to an initial number (anchor) subconsciously influences subsequent estimates.
   - Potential for error: Being more suggestible than we realize."
"Chapter 12: The Science of Availability - Heuristic #12: The Availability Heuristic","- The ease with which we retrieve an answer influences our estimate of its frequency.
   - Emotional or personal experiences make answers easier to retrieve, biasing our estimates.
   - Potential for error: Under or overestimating the frequency of an event based on ease of retrieval rather than statistical calculation."
"Chapter 13: Availability, Emotion, and Risk - Heuristic #13: Availability Cascades","- News stories that pile up warp our statistical senses.
   - A recent event (e.g., plane crash) can make us overestimate the risk of similar events.
   - Negative feedback loops and sensationalism amplify fears.
   - Potential for error: Overreacting to a minor problem due to disproportionate negative news coverage."
"Chapter 14: Tom W’s Specialty - Heuristic #14: Representativeness","- We make judgments based on how similar something is to something we like, without considering probability, statistics, or sampling sizes.
   - Similar to profiling or stereotyping, this intuitive leap can lead to errors.
   - Potential for error: Evaluating something based on resemblance without considering other factors."
"Chapter 15: Linda: Less is More - Heuristic #15: The Conjunction Fallacy","- We choose a plausible story over a probable one, violating the logic of probability.
   - Adding more details to a description makes it less probable, but more plausible to System 1.
   - Potential for error: Favoring plausible but improbable scenarios over implausible but probable ones."
"Chapter 16: Causes Trump Statistics - Heuristic #16: Overlooking Statistics","- We favor stories with explanatory power over statistical data, even when statistics are more accurate.
   - When given both statistical data and an individual story, we tend to go with the story.
   - Potential for error: Stereotyping, profiling, and making general inferences from particular cases rather than the reverse."
