Question,Answer
"What is Bio-organic Chemistry, and why is it important in Biochemistry and Molecular Biology?","- Bio-organic Chemistry: 
  - The study of organic molecules and their reactions in biological systems. 
- Importance: 
  - Explains the structure and function of biomolecules (e.g., proteins, nucleic acids). 
  - Provides insights into metabolic pathways and enzyme mechanisms. 
  - Essential for drug design and understanding disease mechanisms."
"What are electron displacement effects in organic chemistry?","- Electron displacement effects: 
  - Inductive effect: Electron withdrawal or donation through sigma bonds. 
  - Resonance effect: Delocalization of electrons through pi bonds. 
  - Hyperconjugation: Stabilization through sigma-pi interactions. 
  - Example: Electron-withdrawing groups increase the acidity of carboxylic acids."
"What are electrophiles and nucleophiles?","- Electrophiles: 
  - Electron-deficient species that accept electrons (e.g., H+, Br+). 
- Nucleophiles: 
  - Electron-rich species that donate electrons (e.g., OH-, NH3). 
- Role: 
  - Electrophiles participate in electrophilic addition and substitution reactions. 
  - Nucleophiles participate in nucleophilic substitution and addition reactions."
"What are SN1 and SN2 reactions?","- SN1 reaction: 
  - Unimolecular nucleophilic substitution. 
  - Two-step mechanism: Formation of a carbocation intermediate. 
  - Example: Hydrolysis of tertiary alkyl halides. 
- SN2 reaction: 
  - Bimolecular nucleophilic substitution. 
  - One-step mechanism: Backside attack by the nucleophile. 
  - Example: Hydrolysis of primary alkyl halides."
"What are E1 and E2 elimination reactions?","- E1 reaction: 
  - Unimolecular elimination. 
  - Two-step mechanism: Formation of a carbocation intermediate. 
  - Example: Dehydration of alcohols. 
- E2 reaction: 
  - Bimolecular elimination. 
  - One-step mechanism: Simultaneous removal of a proton and leaving group. 
  - Example: Dehydrohalogenation of alkyl halides."
"What is stereochemistry, and why is it important?","- Stereochemistry: 
  - The study of the spatial arrangement of atoms in molecules. 
- Importance: 
  - Determines the biological activity of molecules (e.g., drugs, enzymes). 
  - Explains isomerism and chirality in biomolecules."
"What is chirality, and what are chiral biological molecules?","- Chirality: 
  - The property of a molecule that cannot be superimposed on its mirror image. 
- Chiral biological molecules: 
  - Examples: Amino acids (L-form), sugars (D-form). 
  - Importance: Enzymes and receptors are stereospecific, interacting only with one enantiomer."
"What is optical activity, and how is it measured?","- Optical activity: 
  - The ability of a chiral molecule to rotate plane-polarized light. 
- Measurement: 
  - Using a polarimeter. 
  - Example: (+) and (-) enantiomers rotate light in opposite directions."
"What are diastereomers and meso compounds?","- Diastereomers: 
  - Stereoisomers that are not mirror images of each other. 
  - Example: Cis-trans isomers of alkenes. 
- Meso compounds: 
  - Achiral molecules with multiple chiral centers. 
  - Example: Meso-tartaric acid."
"What are alkanes, and what are their properties?","- Alkanes: 
  - Saturated hydrocarbons with single bonds (CnH2n+2). 
- Properties: 
  - Nonpolar, insoluble in water. 
  - Undergo free radical substitution (e.g., halogenation). 
  - Example: Methane (CH4), ethane (C2H6)."
"What are alkenes, and what are their reactions?","- Alkenes: 
  - Unsaturated hydrocarbons with double bonds (CnH2n). 
- Reactions: 
  - Electrophilic addition (e.g., HBr addition). 
  - Polymerization (e.g., polyethylene formation). 
  - Example: Ethene (C2H4)."
"What are alkyl halides, and what are their reactions?","- Alkyl halides: 
  - Hydrocarbons with halogen substituents (R-X). 
- Reactions: 
  - Nucleophilic substitution (SN1, SN2). 
  - Elimination (E1, E2). 
  - Example: Chloromethane (CH3Cl)."
"What are alcohols, and what are their properties?","- Alcohols: 
  - Hydrocarbons with hydroxyl groups (R-OH). 
- Properties: 
  - Polar, form hydrogen bonds. 
  - Undergo oxidation (e.g., to aldehydes, ketones). 
  - Example: Ethanol (C2H5OH)."
"What are aldehydes and ketones, and what are their reactions?","- Aldehydes: 
  - Compounds with a carbonyl group (R-CHO). 
- Ketones: 
  - Compounds with a carbonyl group (R-CO-R'). 
- Reactions: 
  - Nucleophilic addition (e.g., Grignard reaction). 
  - Oxidation (e.g., aldehydes to carboxylic acids). 
  - Example: Formaldehyde (HCHO), acetone (CH3COCH3)."
"What are carboxylic acids, and what are their reactions?","- Carboxylic acids: 
  - Compounds with a carboxyl group (R-COOH). 
- Reactions: 
  - Esterification (e.g., with alcohols). 
  - Decarboxylation (e.g., loss of CO2). 
  - Example: Acetic acid (CH3COOH)."
"What are amines, and what are their properties?","- Amines: 
  - Compounds with amino groups (R-NH2). 
- Properties: 
  - Basic, form hydrogen bonds. 
  - Undergo alkylation and acylation. 
  - Example: Methylamine (CH3NH2)."
"What is aromaticity, and what are the properties of benzene?","- Aromaticity: 
  - The stability of cyclic, planar molecules with conjugated pi electrons (Hückel's rule). 
- Benzene: 
  - Aromatic hydrocarbon (C6H6). 
  - Undergoes electrophilic substitution (e.g., nitration, halogenation). 
  - Example: Toluene (C6H5CH3)."
"What are electrophilic aromatic substitution reactions?","- Electrophilic aromatic substitution: 
  - Reactions where an electrophile replaces a hydrogen atom on an aromatic ring. 
  - Examples: 
    - Nitration: Introduction of a nitro group (NO2). 
    - Halogenation: Introduction of a halogen (e.g., Br). 
    - Sulfonation: Introduction of a sulfonic acid group (SO3H)."
